publication_date;report_date;province;health_zone;probable_cases;confirmed_cases;total_cases;new_suspected_cases;old_suspected_cases;total_suspected_cases;new_deaths;total_deaths;confirmed_deaths;new_cured;total_cured;population_density;forest_coverage_percent;water_proximity_index;latitude;longitude
43375;43374;North Kivu;Beni;5;37;42;7;0;7;0;29;24;0;8;400;0.45;0.6;0.4911;29.473
43375;43374;North Kivu;Butembo;2;7;9;6;0;6;1;5;3;0;3;1200;0.15;0.4;0.1416;29.2881
43375;43374;North Kivu;Goma;0;0;0;0;0;0;0;0;0;0;0;2500;0.1;0.95;-1.6585;29.2185
43375;43374;North Kivu;Kalunguta;0;1;1;0;0;0;0;0;0;0;1;60;0.75;0.5;0.28;29.35
43375;43374;North Kivu;Oicha;1;2;3;1;0;1;0;1;0;0;2;120;0.8;0.5;0.6936;29.5218
43375;43374;North Kivu;Mabalako;21;69;90;2;0;2;0;65;44;0;28;55;0.85;0.6;0.4167;29.25
43375;43374;North Kivu;Masereka;0;1;1;0;0;0;0;1;1;0;0;90;0.3;0.3;0.18;29.15
43375;43374;North Kivu;Musienene;1;0;1;1;0;1;0;1;0;0;0;110;0.35;0.4;0.1;29.2
43375;43374;Ituri;Komanda;0;1;1;0;0;0;0;0;0;0;0;80;0.6;0.5;1.0508;30.0119
43375;43374;Ituri;Mandima;2;9;11;1;0;1;0;3;1;0;3;30;0.88;0.6;1.1522;29.0718
43375;43374;Ituri;Tchomia;0;2;2;0;0;0;0;1;1;0;0;220;0.12;0.98;1.4822;30.4319
43374;43373;North Kivu;Beni;5;37;42;4;0;4;1;29;24;0;8;400;0.45;0.6;0.4911;29.473
43374;43373;North Kivu;Butembo;2;7;9;2;0;2;0;4;2;0;3;1200;0.15;0.4;0.1416;29.2881
43374;43373;North Kivu;Goma;0;0;0;0;0;0;0;0;0;0;0;2500;0.1;0.95;-1.6585;29.2185
43374;43373;North Kivu;Kalunguta;0;1;1;0;0;0;0;0;0;0;1;60;0.75;0.5;0.28;29.35
43374;43373;North Kivu;Oicha;1;2;3;0;0;0;0;1;0;0;2;120;0.8;0.5;0.6936;29.5218
43374;43373;North Kivu;Mabalako;21;69;90;2;0;2;0;65;44;0;28;55;0.85;0.6;0.4167;29.25
43374;43373;North Kivu;Masereka;0;1;1;0;0;0;0;1;1;0;0;90;0.3;0.3;0.18;29.15
43374;43373;North Kivu;Musienene;1;0;1;0;0;0;0;1;0;0;0;110;0.35;0.4;0.1;29.2
43374;43373;Ituri;Komanda;0;1;1;0;0;0;0;0;0;0;0;80;0.6;0.5;1.0508;30.0119
43374;43373;Ituri;Mandima;2;9;11;0;0;0;0;3;1;0;3;30;0.88;0.6;1.1522;29.0718
43374;43373;Ituri;Tchomia;0;2;2;1;0;1;0;1;1;0;0;220;0.12;0.98;1.4822;30.4319
43373;43372;North Kivu;Beni;5;36;41;5;0;5;2;28;23;0;8;400;0.45;0.6;0.4911;29.473
43373;43372;North Kivu;Butembo;2;7;9;1;0;1;0;4;2;0;3;1200;0.15;0.4;0.1416;29.2881
43373;43372;North Kivu;Goma;0;0;0;0;0;0;0;0;0;0;0;2500;0.1;0.95;-1.6585;29.2185
43373;43372;North Kivu;Kalunguta;0;1;1;0;0;0;0;0;0;0;1;60;0.75;0.5;0.28;29.35
43373;43372;North Kivu;Oicha;1;2;3;0;0;0;0;1;0;0;2;120;0.8;0.5;0.6936;29.5218
43373;43372;North Kivu;Mabalako;21;69;90;1;0;1;0;65;44;0;28;55;0.85;0.6;0.4167;29.25
43373;43372;North Kivu;Masereka;0;1;1;1;0;1;0;1;1;0;0;90;0.3;0.3;0.18;29.15
43373;43372;North Kivu;Musienene;1;0;1;0;0;0;0;1;0;0;0;110;0.35;0.4;0.1;29.2
43373;43372;Ituri;Komanda;0;0;0;0;0;0;0;0;0;0;0;80;0.6;0.5;1.0508;30.0119
43373;43372;Ituri;Mandima;2;9;11;2;0;2;0;3;1;0;3;30;0.88;0.6;1.1522;29.0718
43373;43372;Ituri;Tchomia;0;2;2;3;0;3;0;1;1;0;0;220;0.12;0.98;1.4822;30.4319
43372;43371;North Kivu;Beni;4;35;39;6;0;6;0;26;22;0;8;400;0.45;0.6;0.4911;29.473
43372;43371;North Kivu;Butembo;2;7;9;2;0;2;0;4;2;0;3;1200;0.15;0.4;0.1416;29.2881
43372;43371;North Kivu;Goma;0;0;0;0;0;0;0;0;0;0;0;2500;0.1;0.95;-1.6585;29.2185
43372;43371;North Kivu;Kalunguta;0;1;1;0;0;0;0;0;0;0;1;60;0.75;0.5;0.28;29.35
43372;43371;North Kivu;Oicha;1;2;3;0;0;0;0;1;0;0;2;120;0.8;0.5;0.6936;29.5218
43372;43371;North Kivu;Mabalako;21;69;90;6;0;6;0;65;44;0;28;55;0.85;0.6;0.4167;29.25
43372;43371;North Kivu;Masereka;0;1;1;1;0;1;0;1;1;0;0;90;0.3;0.3;0.18;29.15
43372;43371;North Kivu;Musienene;1;0;1;0;0;0;0;1;0;0;0;110;0.35;0.4;0.1;29.2
43372;43371;Ituri;Komanda;0;0;0;0;0;0;0;0;0;0;0;80;0.6;0.5;1.0508;30.0119
43372;43371;Ituri;Mandima;2;9;11;1;0;1;0;3;1;0;3;30;0.88;0.6;1.1522;29.0718
43372;43371;Ituri;Tchomia;0;2;2;7;0;7;0;1;1;0;0;220;0.12;0.98;1.4822;30.4319
43371;43370;North Kivu;Beni;4;34;38;4;0;4;1;26;22;0;8;400;0.45;0.6;0.4911;29.473
43371;43370;North Kivu;Butembo;2;6;8;1;0;1;0;4;2;2;3;1200;0.15;0.4;0.1416;29.2881
43371;43370;North Kivu;Goma;0;0;0;0;0;0;0;0;0;0;0;2500;0.1;0.95;-1.6585;29.2185
43371;43370;North Kivu;Kalunguta;0;1;1;0;0;0;0;0;0;0;1;60;0.75;0.5;0.28;29.35
43371;43370;North Kivu;Oicha;1;2;3;0;0;0;0;1;0;0;2;120;0.8;0.5;0.6936;29.5218
43371;43370;North Kivu;Mabalako;21;69;90;6;0;6;0;65;44;0;28;55;0.85;0.6;0.4167;29.25
43371;43370;North Kivu;Masereka;0;1;1;0;0;0;0;1;1;0;0;90;0.3;0.3;0.18;29.15
43371;43370;North Kivu;Musienene;1;0;1;0;0;0;0;1;0;0;0;110;0.35;0.4;0.1;29.2
43371;43370;Ituri;Komanda;0;0;0;0;0;0;0;0;0;0;0;80;0.6;0.5;1.0508;30.0119
43371;43370;Ituri;Mandima;2;9;11;0;0;0;0;3;1;0;3;30;0.88;0.6;1.1522;29.0718
43371;43370;Ituri;Tchomia;0;2;2;4;0;4;0;1;1;0;0;220;0.12;0.98;1.4822;30.4319
43370;43369;North Kivu;Beni;4;33;37;2;0;2;0;25;21;2;8;400;0.45;0.6;0.4911;29.473
43370;43369;North Kivu;Butembo;2;6;8;2;0;2;0;4;2;0;1;1200;0.15;0.4;0.1416;29.2881
43370;43369;North Kivu;Goma;0;0;0;1;0;1;0;0;0;0;0;2500;0.1;0.95;-1.6585;29.2185
43370;43369;North Kivu;Kalunguta;0;1;1;0;0;0;0;0;0;0;1;60;0.75;0.5;0.28;29.35
43370;43369;North Kivu;Oicha;1;2;3;0;0;0;0;1;0;0;2;120;0.8;0.5;0.6936;29.5218
43370;43369;North Kivu;Mabalako;21;69;90;3;0;3;0;65;44;0;28;55;0.85;0.6;0.4167;29.25
43370;43369;North Kivu;Masereka;0;1;1;0;0;0;0;1;1;0;0;90;0.3;0.3;0.18;29.15
43370;43369;North Kivu;Musienene;1;0;1;0;0;0;0;1;0;0;0;110;0.35;0.4;0.1;29.2
43370;43369;Ituri;Komanda;0;0;0;0;0;0;0;0;0;0;0;80;0.6;0.5;1.0508;30.0119
43370;43369;Ituri;Mandima;2;9;11;0;0;0;0;3;1;0;3;30;0.88;0.6;1.1522;29.0718
43370;43369;Ituri;Tchomia;0;2;2;3;0;3;0;1;1;0;0;220;0.12;0.98;1.4822;30.4319
43369;43368;North Kivu;Beni;4;30;34;7;0;7;0;25;21;0;6;400;0.45;0.6;0.4911;29.473
43369;43368;North Kivu;Butembo;2;6;8;0;0;0;0;4;2;0;1;1200;0.15;0.4;0.1416;29.2881
43369;43368;North Kivu;Goma;0;0;0;0;0;0;0;0;0;0;0;2500;0.1;0.95;-1.6585;29.2185
43369;43368;North Kivu;Kalunguta;0;1;1;0;0;0;0;0;0;0;1;60;0.75;0.5;0.28;29.35
43369;43368;North Kivu;Oicha;1;2;3;0;0;0;0;1;0;0;2;120;0.8;0.5;0.6936;29.5218
43369;43368;North Kivu;Mabalako;21;69;90;7;0;7;0;65;44;0;28;55;0.85;0.6;0.4167;29.25
43369;43368;North Kivu;Masereka;0;1;1;0;0;0;0;1;1;0;0;90;0.3;0.3;0.18;29.15
43369;43368;North Kivu;Musienene;1;0;1;0;0;0;0;1;0;0;0;110;0.35;0.4;0.1;29.2
43369;43368;Ituri;Komanda;0;0;0;0;0;0;0;0;0;0;0;80;0.6;0.5;1.0508;30.0119
43369;43368;Ituri;Mandima;2;9;11;0;0;0;0;3;1;0;3;30;0.88;0.6;1.1522;29.0718
43369;43368;Ituri;Tchomia;0;2;2;3;0;3;0;1;1;0;0;220;0.12;0.98;1.4822;30.4319
43368;43367;North Kivu;Beni;4;30;34;1;0;1;1;25;21;0;6;400;0.45;0.6;0.4911;29.473
43368;43367;North Kivu;Butembo;2;6;8;3;0;3;0;4;2;0;1;1200;0.15;0.4;0.1416;29.2881
